Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles,name,category,muscle_group,equipment,difficulty,instructions,calories_per_minute
Standing Medicine Ball Chest Pass,Strength,Chest,Push,Beginner,Medicine Ball,Stand and throw the medicine ball forward.,Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Dynamic.,Main workout,Power,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Lower Body Stabilizers",standing medicine ball chest pass,strength,chest,medicine ball,beginner,Stand and throw the medicine ball forward.,6.0
Bodyweight Lunge,Strength,Legs,Push,Beginner,,"Stand and lunge forward, lowering your back knee to the ground.",Hold weights for added resistance.,Keep your core engaged.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",bodyweight lunge,strength,legs,nan,beginner,"Stand and lunge forward, lowering your back knee to the ground.",6.0
Frog Stand,Strength,Full Body,Balance,Intermediate,,Balance on your hands with your knees resting on your elbows.,Use a block for support.,Keep your core engaged.,Builds upper body strength and balance.,Static.,Main workout,Stability,"Pectorals, Triceps",Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",frog stand,strength,full body,nan,intermediate,Balance on your hands with your knees resting on your elbows.,6.0
Backward Medicine Ball Throw,Plyometric,Full Body,Throw,Intermediate,Medicine Ball,Stand and throw the medicine ball backwards over your head.,Use different weights for variation.,Keep your core engaged.,Builds explosive power.,Explosive.,Main workout,Power,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Lower Body Stabilizers",backward medicine ball throw,plyometric,full body,medicine ball,intermediate,Stand and throw the medicine ball backwards over your head.,6.0
Bulgarian Split Squat Jump,Plyometric,Legs,Jump,Advanced,,"Stand with one leg on a bench behind you, squat down and jump, switching legs in the air.",Hold weights for added resistance.,Keep your core engaged.,Builds explosive leg power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",bulgarian split squat jump,plyometric,legs,nan,advanced,"Stand with one leg on a bench behind you, squat down and jump, switching legs in the air.",6.0
Warrior 1 Pose,Yoga,Full Body,Balance,Beginner,,"Stand with one leg forward and one leg back, arms raised overhead.",Use a block for support.,Keep your core engaged.,Improves balance and flexibility.,Static.,Cool-down,Stability,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",warrior 1 pose,yoga,full body,nan,beginner,"Stand with one leg forward and one leg back, arms raised overhead.",6.0
Warrior 2 Pose,Yoga,Full Body,Balance,Beginner,,"Stand with one leg forward and one leg back, arms extended to the sides.",Use a block for support.,Keep your core engaged.,Improves balance and flexibility.,Static.,Cool-down,Stability,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",warrior 2 pose,yoga,full body,nan,beginner,"Stand with one leg forward and one leg back, arms extended to the sides.",6.0
Dumbbell Romanian Deadlift,Strength,Legs,Pull,Intermediate,Dumbbells,Lift the dumbbells from the ground to your hips while keeping your back straight.,Use different weights for variation.,Keep your core engaged.,Builds hamstring and glute strength.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back",dumbbell romanian deadlift,strength,legs,dumbbells,intermediate,Lift the dumbbells from the ground to your hips while keeping your back straight.,6.0
Hack Squats Machine,Strength,Legs,Push,Intermediate,Hack Squat Machine,Stand with your feet shoulder-width apart and squat down on the machine.,Adjust machine settings for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",hack squats machine,strength,legs,hack squat machine,intermediate,Stand with your feet shoulder-width apart and squat down on the machine.,6.0
Hand Gripper,Strength,Forearms,Grip,Beginner,Hand Gripper,Squeeze the hand gripper to strengthen your grip.,Use different resistances for variation.,Keep your core engaged.,Builds forearm strength.,Controlled.,Main workout,Strength,Forearm Flexors,,,"Core, Scapular Stabilizers",hand gripper,strength,forearms,hand gripper,beginner,Squeeze the hand gripper to strengthen your grip.,6.0
Sumo Deadlift,Strength,Legs,Pull,Intermediate,Barbell,"Stand with your feet wider than shoulder-width apart, toes pointing out, and lift the barbell from the ground to your hips.",Use different weights for variation.,Keep your core engaged.,Builds leg and back strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",sumo deadlift,strength,legs,barbell,intermediate,"Stand with your feet wider than shoulder-width apart, toes pointing out, and lift the barbell from the ground to your hips.",6.0
Half Kneeling Lat Pulldown,Strength,Back,Pull,Intermediate,Lat Pulldown Machine,Kneel and pull the bar down towards your chest.,Adjust machine settings for variation.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back",half kneeling lat pulldown,strength,back,lat pulldown machine,intermediate,Kneel and pull the bar down towards your chest.,6.0
Power Skips,Plyometric,Legs,Jump,Intermediate,,"Skip forward with a high knee drive, focusing on explosiveness.",Use different heights for variation.,Keep your core engaged.,Builds explosive leg power.,Explosive.,Cardio,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",power skips,plyometric,legs,nan,intermediate,"Skip forward with a high knee drive, focusing on explosiveness.",6.0
Plyo Jacks,Plyometric,Full Body,Jump,Intermediate,,"Jump and spread your legs and arms out, then return to the starting position.",Use different heights for variation.,Keep your core engaged.,Builds cardiovascular endurance and explosive power.,Explosive.,Cardio,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",plyo jacks,plyometric,full body,nan,intermediate,"Jump and spread your legs and arms out, then return to the starting position.",6.0
Split Jacks,Plyometric,Full Body,Jump,Intermediate,,"Jump and split your legs forward and backward, then return to the starting position.",Use different heights for variation.,Keep your core engaged.,Builds cardiovascular endurance and explosive power.,Explosive.,Cardio,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",split jacks,plyometric,full body,nan,intermediate,"Jump and split your legs forward and backward, then return to the starting position.",6.0
Pistol Squat,Strength,Legs,Push,Advanced,,"Stand on one leg and squat down, keeping the other leg extended forward.",Hold weights for added resistance.,Keep your core engaged.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",pistol squat,strength,legs,nan,advanced,"Stand on one leg and squat down, keeping the other leg extended forward.",6.0
Butt Kicks,Cardio,Legs,Flexion,Beginner,,"Jog in place, bringing your heels to your buttocks.",Increase speed for more intensity.,Keep your core engaged.,Builds cardiovascular endurance.,Dynamic.,Cardio,Cardio,Hamstrings,Glutes,Hip Flexors,"Core, Lower Back",butt kicks,cardio,legs,nan,beginner,"Jog in place, bringing your heels to your buttocks.",8.0
Fast Feet Run,Cardio,Legs,Run,Beginner,,"Run in place, moving your feet as quickly as possible.",Increase speed for more intensity.,Keep your core engaged.,Builds cardiovascular endurance.,Dynamic.,Cardio,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",fast feet run,cardio,legs,nan,beginner,"Run in place, moving your feet as quickly as possible.",8.0
Wheel Run,Cardio,Full Body,Run,Beginner,,"Run in place, moving your arms in a circular motion.",Increase speed for more intensity.,Keep your core engaged.,Builds cardiovascular endurance and coordination.,Dynamic.,Cardio,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",wheel run,cardio,full body,nan,beginner,"Run in place, moving your arms in a circular motion.",8.0
Dumbbell Lunge,Strength,Legs,Push,Beginner,Dumbbells,"Stand and lunge forward, lowering your back knee to the ground while holding dumbbells.",Use different weights for variation.,Keep your core engaged.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",dumbbell lunge,strength,legs,dumbbells,beginner,"Stand and lunge forward, lowering your back knee to the ground while holding dumbbells.",6.0
Dumbbell Straight Leg Deadlift,Strength,Legs,Pull,Intermediate,Dumbbells,Lift the dumbbells from the ground to your hips while keeping your legs straight.,Use different weights for variation.,Keep your core engaged.,Builds hamstring and glute strength.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back",dumbbell straight leg deadlift,strength,legs,dumbbells,intermediate,Lift the dumbbells from the ground to your hips while keeping your legs straight.,6.0
Lever Side Hip Abduction,Strength,Glutes,Abduction,Intermediate,Lever Machine,"Sit and push the lever out to the side, focusing on your glutes.",Adjust machine settings for variation.,Keep your core engaged.,Builds glute strength.,Controlled.,Main workout,Strength,Gluteus Medius,,Adductors,"Core, Ankle Stabilizers",lever side hip abduction,strength,glutes,lever machine,intermediate,"Sit and push the lever out to the side, focusing on your glutes.",6.0
Bodyweight Sumo Squat,Strength,Legs,Push,Beginner,,"Stand with your feet wider than shoulder-width apart, toes pointing out, and squat down.",Hold weights for added resistance.,Keep your back straight and core engaged.,Builds leg strength and targets inner thighs.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",bodyweight sumo squat,strength,legs,nan,beginner,"Stand with your feet wider than shoulder-width apart, toes pointing out, and squat down.",6.0
Hawaiian Squat,Strength,Legs,Push,Intermediate,,"Stand on one leg and squat down, keeping the other leg extended to the side.",Hold weights for added resistance.,Keep your core engaged.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",hawaiian squat,strength,legs,nan,intermediate,"Stand on one leg and squat down, keeping the other leg extended to the side.",6.0
Lever Standing Leg Raise,Strength,Legs,Flexion,Intermediate,Lever Machine,"Stand and lift the lever with your leg, focusing on your hip flexors.",Adjust machine settings for variation.,Keep your core engaged.,Builds hip flexor strength.,Controlled.,Main workout,Strength,Hip Flexors,Quadriceps,Glutes,"Core, Ankle Stabilizers",lever standing leg raise,strength,legs,lever machine,intermediate,"Stand and lift the lever with your leg, focusing on your hip flexors.",6.0
Lever Side Hip Adduction,Strength,Legs,Adduction,Intermediate,Lever Machine,"Sit and push the lever in towards your body, focusing on your inner thighs.",Adjust machine settings for variation.,Keep your core engaged.,Builds inner thigh strength.,Controlled.,Main workout,Strength,Adductors,,Abductors,"Core, Ankle Stabilizers",lever side hip adduction,strength,legs,lever machine,intermediate,"Sit and push the lever in towards your body, focusing on your inner thighs.",6.0
Barbell Bulgarian Split Squat,Strength,Legs,Push,Intermediate,Barbell,Stand with one leg on a bench behind you and squat down holding a barbell.,Use different weights for variation.,Keep your core engaged.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",barbell bulgarian split squat,strength,legs,barbell,intermediate,Stand with one leg on a bench behind you and squat down holding a barbell.,6.0
Lever Deadlift,Strength,Legs,Pull,Intermediate,Lever Machine,Lift the lever from the ground to your hips while keeping your back straight.,Adjust machine settings for variation.,Keep your core engaged.,Builds full body strength.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back",lever deadlift,strength,legs,lever machine,intermediate,Lift the lever from the ground to your hips while keeping your back straight.,6.0
Dumbbell Rear Lunge,Strength,Legs,Push,Intermediate,Dumbbells,"Stand and lunge backward, lowering your back knee to the ground while holding dumbbells.",Use different weights for variation.,Keep your core engaged.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",dumbbell rear lunge,strength,legs,dumbbells,intermediate,"Stand and lunge backward, lowering your back knee to the ground while holding dumbbells.",6.0
Barbell Lunge,Strength,Legs,Push,Intermediate,Barbell,"Stand and lunge forward, lowering your back knee to the ground while holding a barbell.",Use different weights for variation.,Keep your core engaged.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",barbell lunge,strength,legs,barbell,intermediate,"Stand and lunge forward, lowering your back knee to the ground while holding a barbell.",6.0
Barbell Lateral Lunge,Strength,Legs,Push,Intermediate,Barbell,"Stand and lunge to the side, lowering your back knee to the ground while holding a barbell.",Use different weights for variation.,Keep your core engaged.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",barbell lateral lunge,strength,legs,barbell,intermediate,"Stand and lunge to the side, lowering your back knee to the ground while holding a barbell.",6.0
